kplbn,plbn,isbn,box_number
2002907,2,0,A18-02-14
2004137,2,0,박스넘버 미정
58681,1,0,A17-02-29
33743,1,0,A18-02-10
18231,1,0,A18-02-08
2002213,5,0,A19-01-01
2005445,4,0,A16-02-14
2002760,4,0,A15-01-03
16658,1,0,박스넘버 미정
2001373,5,0,A15-01-18
2001144,3,0,A19-01-04
35918,1,0,A16-02-04
10941,1,0,A17-02-21
28762,1,0,A16-01-14
2001913,3,0,A17-01-09
119148,1,0,A18-02-04
50334,1,0,A17-01-06
44743,1,0,A16-02-06
46142,1,0,A18-02-11
87017,1,0,A18-01-17
2007856,4,0,A18-02-09
2005407,3,0,A19-01-15
103763,1,0,A18-01-21
2003213,2,0,A18-02-02
79292,1,0,A16-01-15
2006176,8,0,A19-01-17
2005410,5,0,A16-01-17
123778,1,0,A18-01-02
2006548,3,0,A16-01-04
2006551,4,0,A19-01-16
5234,2,0,A18-01-11
93577,1,0,박스넘버 미정
45679,1,0,A15-02-14
115035,1,0,A18-01-19
2001964,5,0,A16-02-03
52592,1,0,A15-01-25
78954,1,0,A16-02-09
2001519,4,0,A18-02-07
84314,1,0,A15-02-05
82093,1,0,A15-01-32
7048,1,0,A17-01-26
163176,1,0,A16-02-27
29783,1,0,A16-01-28
79338,1,0,박스넘버 미정
2006568,3,0,A24-01-09
200542,1,0,A20-02-12
2006562,2,0,A23-02-39
2002354,2,0,A20-01-21
75710,1,0,A22-02-13
2002641,2,0,A23-02-32
85131,1,0,A21-01-27
80280,1,0,A24-02-13
2006553,3,0,A23-02-22
2006540,3,0,A20-01-15
2006541,4,0,A20-01-24
2002651,2,0,A21-01-14
85342,1,0,박스넘버 미정
2006543,4,0,A20-02-08
2005345,2,0,A21-02-18
85279,1,0,A22-02-14
36135,2,0,A24-02-12
86090,1,0,A23-01-17
82278,1,0,A20-02-06
86544,1,0,A20-02-07
2002357,2,0,A23-02-44
2006179,4,0,A22-01-28
91863,1,0,A23-01-19
158687,2,0,A20-01-05
84567,1,0,A21-02-06
2002645,2,0,A21-02-16
2004023,13,0,A22-02-22
119510,1,0,A23-01-18
2004974,4,0,A23-02-36
94114,1,0,A22-01-24
2006550,3,0,A23-01-08
2002648,2,0,A20-01-07
70730,1,0,A20-02-11
87018,2,0,A23-01-27
2006547,3,0,A20-01-14
2001707,2,0,A20-02-04
2009120,2,0,A21-01-33
2009467,2,0,박스넘버 미정
2005353,2,0,A20-01-30
16445,1,0,B22-01-19
2004823,11,0,A20-02-23
629,2,0,박스넘버 미정
61967,1,0,B21-01-18
87157,1,0,B23-01-07
37054,1,0,B24-01-15
87159,1,0,B24-01-10
2000894,7,0,B23-01-02
145871,1,0,B22-01-23
108257,1,0,B24-01-05
108252,1,0,B22-01-25
109096,1,0,B22-01-22
148141,1,0,B22-01-24
2003991,6,0,B24-01-12
2002126,7,0,A20-02-21
108248,1,0,B23-01-05
74659,1,0,B23-01-03
106726,1,0,B21-01-05
2003990,5,0,A20-02-17
109095,1,0,A20-02-22
34303,1,0,B21-01-06
58691,1,0,B23-01-04
145669,1,0,A20-02-18
2003628,8,0,A20-02-19
2002654,2,0,A21-02-12
2002418,5,0,A10-01-15
46745,1,0,A11-01-04
1062,1,0,A12-02-05
2002798,6,0,A14-02-23
2002805,7,0,A14-01-18
132930,3,0,A12-01-10
29158,1,0,A14-02-10
2007493,7,0,A11-02-12
2003061,11,0,A11-01-13
2004611,19,0,A12-02-11
2007984,15,0,A12-02-23
2010562,4,0,A15-01-21
2002356,2,0,A16-02-22
74762,1,0,A18-01-32
2003999,24,0,A12-01-29
2004856,5,0,A11-02-04
2007227,16,0,A10-02-19
2000867,20,0,박스넘버 미정
2003236,17,0,박스넘버 미정
2008501,11,0,박스넘버 미정
2005051,21,0,박스넘버 미정
2007668,21,0,박스넘버 미정
2001426,17,0,박스넘버 미정
2000874,20,0,박스넘버 미정
2003353,20,0,박스넘버 미정
2003725,24,0,박스넘버 미정
2001341,14,0,박스넘버 미정
2004310,12,0,박스넘버 미정
2003730,21,0,A10-01-20
2006075,13,0,A07-01-15
2003642,14,0,박스넘버 미정
2001676,19,0,박스넘버 미정
2004555,11,0,박스넘버 미정
2003586,27,0,박스넘버 미정
2004932,22,0,박스넘버 미정
2001681,13,0,박스넘버 미정
2001431,19,0,박스넘버 미정
2001859,13,0,A06-01-18
2003638,14,0,A05-01-13
2007590,15,0,A10-02-03
2003048,5,0,박스넘버 미정
2005559,14,0,박스넘버 미정
2004533,10,0,박스넘버 미정
2004934,16,0,A05-01-09
2004598,17,0,A07-01-04
2003046,17,0,박스넘버 미정
2003216,14,0,A07-01-20
2004060,11,0,A07-01-25
2003061,12,0,박스넘버 미정
2004925,20,0,박스넘버 미정
2001832,20,0,박스넘버 미정
2007463,11,0,A19-01-29
2005447,15,0,박스넘버 미정
2006165,5,0,A20-02-09
2002251,18,0,A18-01-12
2001834,5,0,A12-02-04
2004918,21,0,A13-01-45
2005342,21,0,박스넘버 미정
2003663,10,0,박스넘버 미정
2005358,22,0,A12-01-11
2005386,20,0,A13-01-13
2005603,23,0,박스넘버 미정
2003343,20,0,박스넘버 미정
2003663,11,0,A15-01-26
2005357,20,0,A13-01-36
2001971,12,0,A11-01-25
2001182,5,0,A11-01-03
2007799,17,0,박스넘버 미정
2004950,30,0,박스넘버 미정
2003999,25,0,박스넘버 미정
2001675,14,0,박스넘버 미정
2004611,20,0,박스넘버 미정
2001911,15,0,A11-02-14
2004454,20,0,박스넘버 미정
2000606,18,0,A15-02-06
2007964,18,0,박스넘버 미정
2008116,16,0,박스넘버 미정
2006352,13,0,박스넘버 미정
2007616,19,0,박스넘버 미정
2004874,17,0,박스넘버 미정
2004308,15,0,박스넘버 미정
2008140,18,0,A14-02-15
2001724,7,0,A14-02-18
2001673,16,0,A14-02-07
2004492,11,0,A20-01-04
2001200,2,0,박스넘버 미정
2000936,18,0,A13-01-08
2002988,16,0,박스넘버 미정
2006656,18,0,박스넘버 미정
2004966,19,0,A18-01-20
2005495,10,0,A20-02-28
2003002,17,0,박스넘버 미정
2006867,11,0,박스넘버 미정
2004966,20,0,A18-01-30
2007805,11,0,A20-01-38
2007593,11,0,A16-02-21
2002401,15,0,A19-01-31
2004031,8,0,박스넘버 미정
2002251,19,0,박스넘버 미정
2001114,17,0,A16-02-17
2000527,14,0,A20-01-20
2006110,25,0,A20-01-02
2002084,13,0,A18-01-13
2004031,9,0,A17-01-07
2006072,19,0,A20-02-03
2001154,25,0,A18-01-18
2001150,15,0,A17-01-22
2003002,18,0,A18-01-08
2007805,12,0,A20-01-40
121367,1,0,A20-01-29
44031,2,0,A20-02-20
2008369,17,0,A18-02-27
2006015,4,0,A17-02-09
2006174,4,0,A18-01-33
45678,1,0,A15-02-07
2002074,3,0,A20-02-15
2004471,18,0,A18-02-26
2000979,18,0,A16-01-30
2007603,6,0,박스넘버 미정
2004217,17,0,A15-01-34
2003882,11,0,A16-02-24
2002501,16,0,박스넘버 미정
2003904,15,0,A15-02-20
2006772,19,0,박스넘버 미정
2001517,17,0,박스넘버 미정
2005681,17,0,A16-01-29
2001019,10,0,A18-02-29
2006771,15,0,박스넘버 미정
2003168,22,0,A20-02-40
2002606,7,0,A18-02-21
2002445,33,0,A20-02-38
2003548,7,0,A20-02-43
2001369,4,0,A20-01-13
2001831,3,0,A22-02-29
32697,1,0,A23-02-12
2002802,7,0,A21-02-05
2006160,4,0,A20-01-28
2003720,2,0,A20-02-14
11676,3,0,A20-02-05
2004687,5,0,A20-01-35
2004377,6,0,A20-01-23
2006164,7,0,A20-01-19
2006159,11,0,A21-02-34
2006549,3,0,A20-01-09
2000527,15,0,A20-01-08
2004492,12,0,A20-01-01
2002913,2,0,A20-01-43
118713,1,0,A20-01-42
2006169,3,0,A20-02-10
38441,1,0,A20-01-27
2005495,11,0,A20-02-27
2005404,2,0,A20-01-22
2001669,8,0,A20-01-36
2002638,2,0,A20-01-34
2003628,9,0,A20-02-16
11307,1,0,A20-01-32
120149,1,0,A20-01-39
2005405,3,0,A24-02-22
2001209,3,0,A20-02-32
2005271,4,0,A22-02-30
14578,1,0,A20-02-37
85609,1,0,A20-02-41
200580,1,0,A32-03-05
117652,1,0,A22-02-37
86211,1,0,박스넘버 미정
121438,1,0,A43-03-23
92085,1,0,A39-04-02
2000162,15,0,A41-02-15
182625,1,0,A44-03-01
2007026,5,0,A40-03-04
2003449,2,0,A36-02-20
2003444,2,0,A38-02-32
32630,1,0,A37-03-11
30303,1,0,A35-01-27
2003441,2,0,A34-02-08
2003454,2,0,A33-02-29
2003453,2,0,A32-01-06
32493,1,0,A31-01-17
2003442,2,0,A35-04-14
195309,1,0,박스넘버 미정
2003436,2,0,A31-01-18
2003431,2,0,A33-01-18
2004703,4,0,A30-01-42
2002912,2,0,박스넘버 미정
2005335,2,0,A30-02-35
64027,3,0,A29-01-30
2006084,3,0,B27-01-12
2010364,2,0,A29-01-23
2004936,7,0,A25-01-29
2001580,3,0,B26-01-03
2001421,11,0,B25-01-12
2004964,15,0,A30-01-33
2006545,4,0,A26-01-21
2004696,4,0,A28-02-20
2003304,16,0,A27-02-32
2005984,2,0,B39-01-18
2004909,11,0,A33-03-23
4394,1,0,B31-01-33
78668,3,0,A32-03-21
2008486,2,0,A25-03-35
2005498,7,0,A26-02-11
2005390,2,0,B25-01-30
2001314,2,0,A28-01-05
2004566,5,0,A20-02-33
2001175,19,0,B32-01-16
2000795,15,0,박스넘버 미정
50945,1,0,A25-02-03
2006486,11,0,B23-01-19
2002929,2,0,B29-01-13
2008062,3,0,B28-01-19
2001299,4,0,B25-01-20
65677,2,0,A38-04-11
2002229,5,0,B38-01-12
88001,1,0,A42-01-02
2008272,6,0,A53-04-14
2000158,9,0,A37-03-09
2000298,6,0,A45-01-01
2006139,8,0,B32-01-11
2005056,12,0,박스넘버 미정
2004279,12,0,A41-01-13
2010560,2,0,A33-01-42
2010402,2,0,A38-02-33
2000418,6,0,A31-03-34
61612,1,0,A25-02-36
2001221,5,0,A50-02-24
2002765,10,0,A40-05-04
2002652,2,0,A21-02-14
2003886,16,0,B21-01-03
131313,1,0,B22-01-03
2003311,4,0,A21-02-33
108680,1,0,B24-01-13
163899,1,0,A21-02-37
2010139,2,0,A22-01-26
128079,1,0,A22-01-31
2007458,2,0,A21-01-19
103858,3,0,A22-01-41
38834,3,0,A22-02-19
2001367,5,0,A23-02-19
145619,2,0,A23-01-20
119598,1,0,A22-02-39
89226,1,0,A21-01-22
2006555,3,0,A21-02-04
118334,1,0,A23-01-23
2002216,2,0,B25-01-14
2006159,12,0,A21-02-10
29532,1,0,B25-01-24
2004157,10,0,박스넘버 미정
86998,1,0,A25-01-34
2006171,3,0,A23-02-29
2004951,9,0,A23-02-25
119276,1,0,A23-01-21
146789,1,0,A23-02-08
106199,1,0,박스넘버 미정
2002332,4,0,A21-02-31
156802,1,0,A21-01-05
145915,1,0,A22-02-08
109449,3,0,A23-01-26
50944,2,0,A24-02-04
2002180,5,0,B23-01-25
2002889,14,0,B25-01-22
124269,1,0,A22-02-15
86885,1,0,A23-02-04
2001104,2,0,A22-02-04
